,ticker,year,Выручка,Операционная прибыль,EBITDA,Чистая прибыль,Опер.денежный поток,CAPEX,FCF,"Див доход, ао",Дивиденды/прибыль,Опер. расходы,Себестоимость,Амортизация,Расх на персонал,Процентные расходы,Активы,Чистые активы,Долг,Чистый долг,Цена акции ао,Число акций ао,Капитализация,EV,Баланс стоимость,EPS,FCF/акцию,BV/акцию,Рентаб EBITDA,Чистая рентаб,Доходность FCF,ROE,ROA,P/E,P/FCF,P/S,P/BV,EV/EBITDA,Долг/EBITDA,R&D/CAPEX,CAPEX/Выручка,total_price,total_price_target,revenue,total_price_momentum,momentum,lin_reg_pred,log_reg_pred,reports,llm_pred
0,ENPG,2022,1134.0,137.5,213.8,74.2,39.2,117.3,-39.1,0.0,0.0,170.5,826.4,49.4,130.1,67.7,2158.0,526.1,956.6,712.1,374.0,638.8,238.9,951.0,356.1,116.2,-61.2,557.5,18.8,6.5,-16.4,14.1,3.4,3.22,-6.12,0.21,0.67,4.45,3.33,0.0,10.0,374.0,440.2,0.1629733716778293,885.0,-0.8613318475933976,0.2554622992353061,0.4795673779732199,,продавать
1,ENPG,2023,1249.0,87.8,183.9,50.8,232.0,123.4,58.0,0.0,0.0,192.0,969.0,65.2,133.5,58.1,2367.0,620.7,992.3,781.8,440.2,638.8,281.2,1063.0,433.6,79.5,90.8,678.7,14.7,4.1,20.6,8.2,2.1,5.54,4.85,0.23,0.65,5.78,4.25,0.0,10.0,440.2,347.3,-0.2370402093423329,374.0,0.1629733716778293,-0.075867432827818,0.4307044026312192,,держать
2,ENPG,2024,1335.0,137.2,266.7,90.8,151.1,171.1,-91.4,0.0,0.0,172.0,931.0,68.6,168.4,84.7,2503.0,687.3,980.8,808.8,347.3,638.8,221.8,1031.0,512.3,142.1,-143.1,801.9,20.0,6.8,-41.2,13.2,3.6,2.44,-2.43,0.17,0.43,3.86,3.03,0.0,13.0,347.3,454.4,0.2687889076569132,440.2,-0.2370402093423329,0.101971890439872,0.477232318292889,,покупать
3,HEAD,2022,18.1,6.92,9.16,6.01,7.67,0.45,7.0,0.0,0.0,9.98,,1.2,5.75,0.756,23.9,6.78,7.57,-1.78,1211.0,50.6,61.3,59.5,-5.73,118.7,138.2,-113.2,50.6,33.2,11.4,88.7,25.2,10.2,8.76,3.39,-10.7,6.5,-0.19,0.0,2.0,1211.0,2951.0,0.890697631389847,3899.408,-1.1693782821708432,0.3800080292799163,0.5455564755974022,,покупать
4,HEAD,2023,29.4,15.8,17.4,12.5,16.4,0.517,16.4,0.0,0.0,12.5,,1.2,6.7,0.571,36.8,12.5,3.14,-19.5,2951.0,50.6,149.4,130.0,0.51,246.5,324.7,10.1,59.0,42.4,11.0,100.0,33.9,12.0,9.09,5.07,293.0,7.48,-1.12,0.0,2.0,2951.0,4604.01,0.4447835669208017,1211.0,0.890697631389847,-0.2721552161540857,0.4827012576216498,,покупать
5,HEAD,2024,39.6,20.3,23.2,24.4,23.7,0.592,26.0,24.5,164.0,18.1,,1.3,7.9,0.41,24.5,-2.12,1.5,-4.04,3698.0,50.6,187.3,183.2,-16.5,482.7,513.5,-326.1,58.6,61.7,13.9,-1152.8,99.8,7.66,7.2,4.73,-11.3,7.89,-0.17,0.0,1.0,4604.01,3372.12,-0.3113860361865919,2951.0,0.4447835669208017,0.0831377537412093,0.5355570370072454,"['• «Скорректированный показатель Чистой прибыли» – чистая прибыль/(чистый убыток) плюс: (1) расходы, \nсвязанные с вознаграждением c расчетами долевыми инструментами; (2) убыток/(доход) от депозитария; \n(3) чистая (прибыль)/убыток от курсовых разниц; (4) доля в (п рибыли)/убытке от инвестиций, учитываемых \nметодом долевого участия; (5) прочие затраты на финансирование и сопровождение сделок; (6) \nобесценение гудвила; (7) обесценение инвестиций, учитываемых методом долевого участия; \n(8) амортизация нематериальных активов, признанных при приобретении нашего правопредшественника; \n(9) налоговый эффект на корректировки; (10) изменение резервов для уплаты налогов; (11) (прибыль)/убыток \nот переоценки ранее имевшихся долей в объектах инвестиций, учитываемых методом долевого уч астия; \n(12) (прибыль)/убыток по финансовым активам, оцениваемым по справедливой стоимости через прибыль \nили убыток; (13) расходы, связанные с приобретением неконтролирующей доли в дочерней компании и (14) \nналог на сверхприбыль. \n• «Рентабельность скорректированного показателя EBITDA» – Скорректированный показатель EBITDA, \nразделенный на Выручку. \n• «Рентабельность скорректированного показателя Чистой прибыли» – Скорректированный показатель \nЧистой прибыли, разделенный на Выручку. \n• «Скорректированные операционные затраты и расходы (без учета износа и амортизации)» – операционные ', 'учета износа и амортизации)», «Чистый оборотный капитал» и «Чистые денежные средства». Указанные \nфинансовые показатели не должны рассматриваться изолированно, а также не заменяют собой и не главенствуют \nнад финансовой информацией, подготовленной и представленной в соответствии с МСФО. Более подробные \nсведения о таких финансовых п оказателях, не предусмотренных МСФО, см. в таблицах «Сопоставление \nфинансовых показателей, не предусмотренных МСФО, с ближайшими сопоставимыми финансовыми показателями \nпо МСФО», в том числе после сопроводительных таблиц с финансовыми показателями. Мы испол ьзуем ряд \nфинансовых показателей, не предусмотренных МСФО, и определяем их следующим образом: \n• «Скорректированный показатель EBITDA» – чистая прибыль/(чистый убыток) плюс: (1) расходы по налогу на \nприбыль; (2) чистые процентные (доходы)/расходы; (3) износ и амортизация; (4) расходы, связанные с \nвознаграждением c расчетами долевыми инструментами; (5) убыток/(доход) от депозитария; (6) чистая \n(прибыль)/убыток от курсовых разниц; (7) доля в (прибыли)/убытке от инвестиций, учитываемых методом \nдолевого участия; ( 8) прочие затраты на финансирование и сопровождение сделок; (9) обесценение \nгудвила; (10) обесценение инвестиций, учитываемых методом долевого участия; (11) изменение резервов \nдля уплаты налогов; (12) (прибыль)/убыток от переоценки ранее имевшихся долей в объектах инвестиций, \nучитываемых методом долевого участия; (13) расходы, связанные с приобретением неконтролирующей \nдоли в дочерней компании и (14) (прибыль)/убыток по финансовым активам, оцениваемым по справедливой ', '(1) Отражает неденежные расходы, относящиеся к вознаграждениям с расчетами долевыми инструментами, предоставленными в \nсоответствии с долгосрочными программами мотивации (далее – «ДПМ»), а также составляющими часть компенсационного \nпакета членов Совета директоров. \n(2) Отражает нетто сумму, которую мы (получили)/уплатили депозитарию американских депозитарных расписок Headhunter Group \nPlc согласно условиям договоров. \n(3) Отражает прибыль или убыток от курсовых разниц, не характеризующих нашу основную деятельность. \n(4) Отражает прибыль или убыток от переоценки ранее имевшихся долей в объектах инвестиций, учитываемых методом долевого \nучастия. В частности, в 2023 году мы признали убыток в размере 87 млн рублей от переоценки, ранее принадлежавшей нам \nдоли в уставном капитале ООО «Дрим Джоб» по справедливой стоимости на дату получения контроля. \n(5) Отражает прибыль или убыток по финансовым активам, оцениваемым по справедливой стоимости через прибыль или убыток. \n(6) Отражает долю в прибыли или убытке от инвестиций, оцениваемых методом долевого участия. \n(7) Отражает прочий неоперационный расход, связанный с приобретением неконтролирующей доли участия в дочерней компании \nв Беларуси. \n(8) Отражает затраты, понесенные в связи с потенциальными финансовыми и стратегическими сделками, которые не относятся к \nнашей основной операционной деятельности. \n(9) Представляет собой прибыль, возникшую в результате списания резервов по историческим налоговым рискам. ', '(1) Отражает неденежные расходы, относящиеся к вознаграждениям с расчетами долевыми инструментами, предоставленными в \nсоответствии с долгосрочными программами мотивации (далее – «ДПМ»). \n(2) Отражает нетто сумму, которую мы (получили)/уплатили депозитарию американских депозитарных расписок Headhunter Group \nPlc согласно условиям договоров. \n(3) Отражает прибыль или убыток от курсовых разниц, не характеризующих нашу основную деятельность. \n(4) Отражает прибыль или убыток от переоценки ранее имевшихся долей в объектах инвестиций, учитываемых методом долевого \nучастия. \n(5) Отражает прибыль или убыток по финансовым активам, оцениваемым по справедливой стоимости через прибыль или убыток. \n(6) Отражает долю в прибыли или убытке от инвестиций, оцениваемых методом долевого участия. \n(7) Отражает прочий неоперационный расход, связанный с приобретением неконтролирующей доли участия в дочерней компании \nв Беларуси. \n(8) Отражает затраты, понесенные в связи с потенциальными финансовыми и стратегическими сделками, которые не относятся к \nнашей основной операционной деятельности. \n(9) В результате приобретения 100% акций HeadHunter FSU Limited, правопредшественника Группы, в 2016 году мы признали \nследующие нематериальные активы: (i) товарный знак и доменные имена на сумму 1 634 306 тыс. рублей; (ii) базы клиентов на \nсумму 2 064 035 тыс. рублей; и (iii) базу резюме на сумму 618 601 тыс. рублей. Срок полезного использования указанных активов ', 'Уплаченный налог на прибыль (1 181 863) (4 233 384) \nПроценты уплаченные (410 012) (571 161) \nЧистый поток денежных средств от операционной деятельности 23 678 099 16 387 714 \nИНВЕСТИЦИОННАЯ ДЕЯТЕЛЬНОСТЬ: \nПриобретение дочерних компаний, за вычетом имеющихся у них денежных средств (1 625 270) 19 885 \nОплата отложенного возмещения при приобретении дочерних компаний (60 023) (66 880) \nПриобретение нематериальных активов (272 228) (228 686) \nПриобретение основных средств (319 771) (288 185) \nЗаймы, выданные объектам инвестиций, учитываемых методом долевого участия – (15 000) \nПоступления от погашения займов, выданных объектам инвестиций, учитываемых методом \nдолевого участия – 100 \nИнвестиции в краткосрочные депозиты, нетто (50 000) – \nПроценты полученные 3 250 862 704 789 \nЧистые денежные средства, полученные от инвестиционной деятельности 923 570 126 023 \nФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ: \nПоступления от реализации опционов на акции по программам долгосрочного премирования 1 037 – ']",продавать
6,HNFG,2022,12.4,3.03,3.12,1.8,1.68,1.95,-1.19,0.0,0.0,5.49,3.97,1.8,1.79,1.09,14.4,3.7,4.42,3.86,675.0,36.0,24.3,28.2,1.04,50.0,-33.1,28.9,25.2,14.5,-4.9,48.6,12.5,13.5,-20.4,1.96,23.4,9.03,1.24,0.0,16.0,675.0,552.6674999999999,-0.1999561360057641,675.0,0.0,-0.1560635609147856,0.3910591857459082,,держать
7,HNFG,2023,16.8,4.56,4.51,2.47,4.51,1.35,1.92,1.5,0.0,7.07,5.13,2.2,2.26,0.405,20.1,7.81,2.07,-0.5,544.5,40.4,22.0,21.5,5.32,61.1,47.5,131.5,26.9,14.7,8.7,31.6,12.3,8.92,11.5,1.31,4.14,4.77,-0.11,0.0,8.0,552.6674999999999,651.354,0.1642967183495301,675.0,-0.1999561360057641,0.0979782095701798,0.5031695004541694,,держать
8,HNFG,2024,20.8,5.34,5.37,3.21,4.3,1.93,1.09,6.5,50.0,8.88,6.62,2.6,2.79,0.403,22.6,8.93,2.06,0.5,611.6,40.4,24.7,25.2,6.5,79.4,26.9,160.6,25.7,15.4,4.4,35.9,14.2,7.71,22.7,1.19,3.81,4.7,0.09,0.0,9.0,651.354,518.0,-0.2290780309568126,552.6674999999999,0.1642967183495301,-0.0565926829380869,0.4891302699860748,,держать
9,IVAT,2022,1.38,1.03,1.07,1.0,1.05,0.592,0.438,0.0,0.0,0.224,0.215,0.1,0.152,,3.34,2.6,0.06,-0.3,300.0,100.0,30.0,29.7,0.77,10.0,4.38,7.7,77.5,72.5,1.5,38.5,29.9,30.0,68.5,21.7,39.0,27.8,-0.28,0.0,43.0,300.0,300.0,0.0,300.0,0.0,-0.3037528047485021,0.3156872979708969,,продавать
